Date,Time,Action,PosX,PosY,Button
2020-12-06,"22:25:34,712",MV,1174,490,None:
2020-12-06,"22:25:34,720",MV,1174,488,None:
2020-12-06,"22:25:34,728",MV,1174,485,None:
2020-12-06,"22:25:34,738",MV,1174,480,None:
2020-12-06,"22:25:34,744",MV,1173,474,None:
2020-12-06,"22:25:34,752",MV,1170,463,None:
2020-12-06,"22:25:34,760",MV,1169,456,None:
2020-12-06,"22:25:34,768",MV,1167,450,None:
2020-12-06,"22:25:34,776",MV,1166,443,None:
2020-12-06,"22:25:34,784",MV,1165,439,None:
2020-12-06,"22:25:34,792",MV,1164,433,None:
2020-12-06,"22:25:34,800",MV,1162,425,None:
2020-12-06,"22:25:34,808",MV,1162,412,None:
2020-12-06,"22:25:34,816",MV,1164,392,None:
2020-12-06,"22:25:34,824",MV,1166,370,None:
2020-12-06,"22:25:34,832",MV,1164,353,None:
2020-12-06,"22:25:34,842",MV,1159,337,None:
2020-12-06,"22:25:34,848",MV,1156,327,None:
2020-12-06,"22:25:34,856",MV,1151,320,None:
2020-12-06,"22:25:34,864",MV,1147,314,None:
2020-12-06,"22:25:34,872",MV,1144,312,None:
2020-12-06,"22:25:34,880",MV,1142,310,None:
2020-12-06,"22:25:34,888",MV,1140,310,None:
2020-12-06,"22:25:34,896",MV,1138,311,None:
2020-12-06,"22:25:34,906",MV,1135,314,None:
2020-12-06,"22:25:34,914",MV,1124,326,None:
2020-12-06,"22:25:34,922",MV,1110,342,None:
2020-12-06,"22:25:34,930",MV,1090,360,None:
2020-12-06,"22:25:34,938",MV,1070,378,None:
2020-12-06,"22:25:34,946",MV,1042,398,None:
2020-12-06,"22:25:34,954",MV,1010,418,None:
2020-12-06,"22:25:34,962",MV,982,434,None:
2020-12-06,"22:25:34,970",MV,952,448,None:
2020-12-06,"22:25:34,978",MV,906,468,None:
2020-12-06,"22:25:34,986",MV,882,476,None:
2020-12-06,"22:25:34,994",MV,842,486,None:
2020-12-06,"22:25:35,002",MV,798,496,None:
2020-12-06,"22:25:35,010",MV,746,502,None:
2020-12-06,"22:25:35,019",MV,710,506,None:
2020-12-06,"22:25:35,026",MV,654,512,None:
2020-12-06,"22:25:35,036",MV,596,516,None:
2020-12-06,"22:25:35,042",MV,558,520,None:
2020-12-06,"22:25:35,050",MV,506,528,None:
2020-12-06,"22:25:35,058",MV,478,534,None:
2020-12-06,"22:25:35,066",MV,444,544,None:
2020-12-06,"22:25:35,074",MV,422,554,None:
2020-12-06,"22:25:35,082",MV,409,562,None:
2020-12-06,"22:25:35,090",MV,401,566,None:
2020-12-06,"22:25:35,098",MV,399,569,None:
2020-12-06,"22:25:35,106",MV,398,569,None:
2020-12-06,"22:25:35,162",MV,398,568,None:
2020-12-06,"22:25:35,178",MV,398,567,None:
2020-12-06,"22:25:35,186",MV,398,566,None:
2020-12-06,"22:25:35,196",MV,399,566,None:
2020-12-06,"22:25:35,204",MV,399,565,None:
2020-12-06,"22:25:35,212",MV,399,564,None:
2020-12-06,"22:25:35,276",MV,399,563,None:
2020-12-06,"22:25:35,284",MV,400,563,None:
2020-12-06,"22:25:35,300",MV,400,562,None:
2020-12-06,"22:25:35,308",MV,401,562,None:
2020-12-06,"22:25:35,316",MV,401,561,None:
2020-12-06,"22:25:35,348",MV,402,561,None:
2020-12-06,"22:25:35,389",CLK,402,561,Button.left
2020-12-06,"22:25:35,436",RLS,402,561,Button.left
2020-12-06,"22:25:35,606",MV,402,562,None:
2020-12-06,"22:25:35,614",MV,402,563,None:
2020-12-06,"22:25:35,622",MV,402,567,None:
2020-12-06,"22:25:35,630",MV,402,569,None:
2020-12-06,"22:25:35,638",MV,402,574,None:
2020-12-06,"22:25:35,646",MV,402,577,None:
2020-12-06,"22:25:35,654",MV,402,582,None:
2020-12-06,"22:25:35,662",MV,402,586,None:
2020-12-06,"22:25:35,670",MV,401,591,None:
2020-12-06,"22:25:35,678",MV,400,594,None:
2020-12-06,"22:25:35,686",MV,398,599,None:
