Date,Time,Sid,Value
2020-07-29,"14:29:35,690",A2,33
2020-07-29,"14:29:35,691",A3,69
2020-07-29,"14:29:35,691",A4,12
2020-07-29,"14:29:35,691",A4,29
2020-07-29,"14:29:35,691",A0,93
2020-07-29,"14:29:35,691",A1,44
2020-07-29,"14:29:35,691",A2,33
2020-07-29,"14:29:35,691",A3,70
2020-07-29,"14:29:35,692",A4,44
2020-07-29,"14:29:35,692",A0,93
2020-07-29,"14:29:35,692",A1,45
2020-07-29,"14:29:35,692",A2,33
2020-07-29,"14:29:35,692",A3,71
2020-07-29,"14:29:35,692",A4,16
2020-07-29,"14:29:35,692",A0,93
2020-07-29,"14:29:35,692",A1,45
2020-07-29,"14:29:35,692",A2,33
2020-07-29,"14:29:35,693",A3,69
2020-07-29,"14:29:35,693",A4,12
2020-07-29,"14:29:35,693",A4,29
2020-07-29,"14:29:35,693",A0,93
2020-07-29,"14:29:35,693",A1,44
2020-07-29,"14:29:35,693",A2,33
2020-07-29,"14:29:35,693",A3,70
2020-07-29,"14:29:35,694",A4,44
2020-07-29,"14:29:35,694",A0,93
2020-07-29,"14:29:35,694",A1,45
2020-07-29,"14:29:35,694",A2,33
2020-07-29,"14:29:35,694",A3,71
2020-07-29,"14:29:35,694",A4,16
2020-07-29,"14:29:35,694",A0,93
2020-07-29,"14:29:35,694",A1,45
2020-07-29,"14:29:35,695",A2,33
2020-07-29,"14:29:35,695",A3,69
2020-07-29,"14:29:35,695",A4,12
2020-07-29,"14:29:37,247",A0,95
2020-07-29,"14:29:37,255",A1,46
2020-07-29,"14:29:37,263",A2,29
2020-07-29,"14:29:37,272",A3,71
2020-07-29,"14:29:37,280",A4,16
2020-07-29,"14:29:38,251",A0,185
2020-07-29,"14:29:38,259",A1,47
2020-07-29,"14:29:38,267",A2,21
2020-07-29,"14:29:38,275",A3,72
2020-07-29,"14:29:38,283",A4,15
2020-07-29,"14:29:39,254",A0,186
2020-07-29,"14:29:39,262",A1,38
2020-07-29,"14:29:39,270",A2,22
2020-07-29,"14:29:39,279",A3,71
2020-07-29,"14:29:39,287",A4,13
2020-07-29,"14:29:40,253",A0,181
2020-07-29,"14:29:40,262",A1,39
2020-07-29,"14:29:40,270",A2,21
2020-07-29,"14:29:40,278",A3,64
2020-07-29,"14:29:40,286",A4,12
2020-07-29,"14:29:41,257",A0,171
2020-07-29,"14:29:41,265",A1,41
2020-07-29,"14:29:41,273",A2,21
2020-07-29,"14:29:41,281",A3,66
2020-07-29,"14:29:41,290",A4,13
2020-07-29,"14:29:42,260",A0,172
2020-07-29,"14:29:42,268",A1,41
2020-07-29,"14:29:42,277",A2,21
2020-07-29,"14:29:42,285",A3,67
2020-07-29,"14:29:42,293",A4,14
2020-07-29,"14:29:43,260",A0,176
2020-07-29,"14:29:43,272",A1,43
2020-07-29,"14:29:43,280",A2,22
2020-07-29,"14:29:43,288",A3,67
2020-07-29,"14:29:43,297",A4,14
2020-07-29,"14:29:44,263",A0,178
2020-07-29,"14:29:44,271",A1,55
2020-07-29,"14:29:44,280",A2,22
2020-07-29,"14:29:44,288",A3,67
2020-07-29,"14:29:44,296",A4,13
2020-07-29,"14:29:45,267",A0,83
2020-07-29,"14:29:45,275",A1,53
2020-07-29,"14:29:45,283",A2,24
2020-07-29,"14:29:45,291",A3,65
2020-07-29,"14:29:45,299",A4,14
2020-07-29,"14:29:46,266",A0,88
2020-07-29,"14:29:46,278",A1,180
2020-07-29,"14:29:46,286",A2,26
2020-07-29,"14:29:46,295",A3,69
2020-07-29,"14:29:46,303",A4,14
2020-07-29,"14:29:47,269",A0,89
2020-07-29,"14:29:47,278",A1,175
2020-07-29,"14:29:47,286",A2,26
2020-07-29,"14:29:47,294",A3,68
2020-07-29,"14:29:47,302",A4,14
