Date,Time,Sid,Value
2020-07-29,"14:30:38,792",A4,7
2020-07-29,"14:30:38,792",A4,91
2020-07-29,"14:30:38,792",A0,15
2020-07-29,"14:30:38,792",A1,93
2020-07-29,"14:30:38,793",A2,17
2020-07-29,"14:30:38,793",A3,15
2020-07-29,"14:30:38,793",A4,84
2020-07-29,"14:30:38,793",A0,8
2020-07-29,"14:30:38,793",A1,84
2020-07-29,"14:30:38,793",A2,15
2020-07-29,"14:30:38,794",A3,7
2020-07-29,"14:30:38,794",A4,7
2020-07-29,"14:30:38,794",A0,9
2020-07-29,"14:30:38,794",A1,86
2020-07-29,"14:30:38,794",A2,17
2020-07-29,"14:30:38,794",A3,7
2020-07-29,"14:30:38,794",A4,7
2020-07-29,"14:30:38,795",A4,91
2020-07-29,"14:30:38,795",A0,15
2020-07-29,"14:30:38,795",A1,93
2020-07-29,"14:30:38,795",A2,17
2020-07-29,"14:30:38,795",A3,15
2020-07-29,"14:30:38,795",A4,84
2020-07-29,"14:30:38,796",A0,8
2020-07-29,"14:30:38,796",A1,84
2020-07-29,"14:30:38,796",A2,15
2020-07-29,"14:30:38,796",A3,7
2020-07-29,"14:30:38,796",A4,7
2020-07-29,"14:30:38,796",A0,9
2020-07-29,"14:30:38,797",A1,86
2020-07-29,"14:30:38,797",A2,17
2020-07-29,"14:30:38,797",A3,7
2020-07-29,"14:30:38,797",A4,7
2020-07-29,"14:30:40,347",A0,17
2020-07-29,"14:30:40,355",A1,86
2020-07-29,"14:30:40,363",A2,34
2020-07-29,"14:30:40,372",A3,16
2020-07-29,"14:30:40,380",A4,85
2020-07-29,"14:30:41,350",A0,37
2020-07-29,"14:30:41,359",A1,97
2020-07-29,"14:30:41,367",A2,48
2020-07-29,"14:30:41,375",A3,17
2020-07-29,"14:30:41,383",A4,90
2020-07-29,"14:30:42,354",A0,131
2020-07-29,"14:30:42,362",A1,95
2020-07-29,"14:30:42,370",A2,7
2020-07-29,"14:30:42,379",A3,8
2020-07-29,"14:30:42,383",A4,7
2020-07-29,"14:30:43,353",A0,8
2020-07-29,"14:30:43,362",A1,215
2020-07-29,"14:30:43,370",A2,8
2020-07-29,"14:30:43,378",A3,7
2020-07-29,"14:30:43,386",A4,7
2020-07-29,"14:30:44,357",A0,14
2020-07-29,"14:30:44,365",A1,212
2020-07-29,"14:30:44,373",A2,31
2020-07-29,"14:30:44,381",A3,15
2020-07-29,"14:30:44,390",A4,76
2020-07-29,"14:30:45,360",A0,16
2020-07-29,"14:30:45,368",A1,211
2020-07-29,"14:30:45,377",A2,31
2020-07-29,"14:30:45,385",A3,15
2020-07-29,"14:30:45,393",A4,80
2020-07-29,"14:30:46,360",A0,15
2020-07-29,"14:30:46,372",A1,91
2020-07-29,"14:30:46,380",A2,113
2020-07-29,"14:30:46,388",A3,15
2020-07-29,"14:30:46,396",A4,77
2020-07-29,"14:30:47,363",A0,14
2020-07-29,"14:30:47,371",A1,99
2020-07-29,"14:30:47,384",A2,108
2020-07-29,"14:30:47,392",A3,15
2020-07-29,"14:30:47,400",A4,79
2020-07-29,"14:30:48,367",A0,8
2020-07-29,"14:30:48,375",A1,90
2020-07-29,"14:30:48,383",A2,101
2020-07-29,"14:30:48,391",A3,7
2020-07-29,"14:30:48,399",A4,7
2020-07-29,"14:30:49,366",A0,9
2020-07-29,"14:30:49,374",A1,92
2020-07-29,"14:30:49,382",A2,8
2020-07-29,"14:30:49,391",A3,23
2020-07-29,"14:30:49,399",A4,8
2020-07-29,"14:30:50,369",A0,8
2020-07-29,"14:30:50,378",A1,97
2020-07-29,"14:30:50,386",A2,8
2020-07-29,"14:30:50,394",A3,8
2020-07-29,"14:30:50,402",A4,15
