Date,Time,Sid,Value
2020-07-29,"14:34:51,722",A1,4
2020-07-29,"14:34:51,723",A2,47
2020-07-29,"14:34:51,723",A3,5
2020-07-29,"14:34:51,723",A4,3
2020-07-29,"14:34:51,723",A3,4
2020-07-29,"14:34:51,723",A4,3
2020-07-29,"14:34:51,723",A0,0
2020-07-29,"14:34:51,724",A1,3
2020-07-29,"14:34:51,724",A2,39
2020-07-29,"14:34:51,724",A3,2
2020-07-29,"14:34:51,724",A4,2
2020-07-29,"14:34:51,724",A0,3
2020-07-29,"14:34:51,724",A1,7
2020-07-29,"14:34:51,724",A2,47
2020-07-29,"14:34:51,724",A3,5
2020-07-29,"14:34:51,724",A4,4
2020-07-29,"14:34:51,724",A0,3
2020-07-29,"14:34:51,725",A1,4
2020-07-29,"14:34:51,725",A2,47
2020-07-29,"14:34:51,725",A3,5
2020-07-29,"14:34:51,725",A4,3
2020-07-29,"14:34:51,725",A3,4
2020-07-29,"14:34:51,725",A4,3
2020-07-29,"14:34:51,725",A0,0
2020-07-29,"14:34:51,725",A1,3
2020-07-29,"14:34:51,725",A2,39
2020-07-29,"14:34:51,726",A3,2
2020-07-29,"14:34:51,726",A4,2
2020-07-29,"14:34:51,726",A0,3
2020-07-29,"14:34:51,726",A1,7
2020-07-29,"14:34:51,726",A2,47
2020-07-29,"14:34:51,726",A3,5
2020-07-29,"14:34:51,726",A4,4
2020-07-29,"14:34:51,726",A0,3
2020-07-29,"14:34:51,726",A1,4
2020-07-29,"14:34:51,726",A2,47
2020-07-29,"14:34:51,726",A3,5
2020-07-29,"14:34:51,727",A4,3
2020-07-29,"14:34:53,279",A0,0
2020-07-29,"14:34:53,287",A1,0
2020-07-29,"14:34:53,296",A2,17
2020-07-29,"14:34:53,304",A3,0
2020-07-29,"14:34:53,308",A4,0
2020-07-29,"14:34:54,283",A0,1
2020-07-29,"14:34:54,287",A1,2
2020-07-29,"14:34:54,295",A2,32
2020-07-29,"14:34:54,303",A3,3
2020-07-29,"14:34:54,311",A4,2
2020-07-29,"14:34:55,282",A0,3
2020-07-29,"14:34:55,290",A1,1
2020-07-29,"14:34:55,298",A2,36
2020-07-29,"14:34:55,307",A3,3
2020-07-29,"14:34:55,315",A4,2
2020-07-29,"14:34:56,286",A0,2
2020-07-29,"14:34:56,294",A1,2
2020-07-29,"14:34:56,302",A2,39
2020-07-29,"14:34:56,306",A3,5
2020-07-29,"14:34:56,314",A4,2
2020-07-29,"14:34:57,289",A0,3
2020-07-29,"14:34:57,293",A1,2
2020-07-29,"14:34:57,301",A2,40
2020-07-29,"14:34:57,309",A3,4
2020-07-29,"14:34:57,318",A4,2
2020-07-29,"14:34:58,288",A0,3
2020-07-29,"14:34:58,297",A1,4
2020-07-29,"14:34:58,305",A2,42
2020-07-29,"14:34:58,313",A3,5
2020-07-29,"14:34:58,321",A4,3
2020-07-29,"14:34:59,292",A0,3
2020-07-29,"14:34:59,300",A1,2
2020-07-29,"14:34:59,308",A2,41
2020-07-29,"14:34:59,312",A3,6
2020-07-29,"14:34:59,321",A4,3
2020-07-29,"14:35:00,295",A0,2
2020-07-29,"14:35:00,299",A1,3
2020-07-29,"14:35:00,308",A2,43
2020-07-29,"14:35:00,316",A3,5
2020-07-29,"14:35:00,324",A4,3
2020-07-29,"14:35:01,295",A0,3
2020-07-29,"14:35:01,303",A1,4
2020-07-29,"14:35:01,311",A2,44
2020-07-29,"14:35:01,319",A3,5
2020-07-29,"14:35:01,327",A4,3
2020-07-29,"14:35:02,298",A0,0
2020-07-29,"14:35:02,306",A1,3
2020-07-29,"14:35:02,315",A2,44
2020-07-29,"14:35:02,319",A3,5
2020-07-29,"14:35:02,327",A4,2
2020-07-29,"14:35:03,302",A0,0
2020-07-29,"14:35:03,306",A1,3
2020-07-29,"14:35:03,314",A2,40
2020-07-29,"14:35:03,322",A3,5
2020-07-29,"14:35:03,330",A4,2
