Date,Time,Sid,Value
2020-07-29,"14:31:48,868",A4,88
2020-07-29,"14:31:48,869",A0,8
2020-07-29,"14:31:48,869",A1,96
2020-07-29,"14:31:48,869",A2,102
2020-07-29,"14:31:48,869",A3,9
2020-07-29,"14:31:48,869",A4,8
2020-07-29,"14:31:48,869",A0,0
2020-07-29,"14:31:48,869",A1,0
2020-07-29,"14:31:48,870",A2,0
2020-07-29,"14:31:48,870",A3,0
2020-07-29,"14:31:48,870",A4,1
2020-07-29,"14:31:48,870",A0,0
2020-07-29,"14:31:48,870",A1,0
2020-07-29,"14:31:48,870",A2,0
2020-07-29,"14:31:48,870",A3,0
2020-07-29,"14:31:48,871",A4,0
2020-07-29,"14:31:50,426",A0,0
2020-07-29,"14:31:50,430",A1,0
2020-07-29,"14:31:50,439",A2,0
2020-07-29,"14:31:50,447",A3,0
2020-07-29,"14:31:50,455",A4,0
2020-07-29,"14:31:51,426",A0,0
2020-07-29,"14:31:51,434",A1,0
2020-07-29,"14:31:51,442",A2,0
2020-07-29,"14:31:51,450",A3,0
2020-07-29,"14:31:51,454",A4,0
2020-07-29,"14:31:52,429",A0,0
2020-07-29,"14:31:52,437",A1,0
2020-07-29,"14:31:52,441",A2,0
2020-07-29,"14:31:52,450",A3,0
2020-07-29,"14:31:52,458",A4,0
2020-07-29,"14:31:53,429",A0,0
2020-07-29,"14:31:53,437",A1,0
2020-07-29,"14:31:53,445",A2,0
2020-07-29,"14:31:53,453",A3,0
2020-07-29,"14:31:53,461",A4,0
2020-07-29,"14:31:54,432",A0,0
2020-07-29,"14:31:54,440",A1,0
2020-07-29,"14:31:54,448",A2,0
2020-07-29,"14:31:54,452",A3,0
2020-07-29,"14:31:54,461",A4,0
2020-07-29,"14:31:55,435",A0,0
2020-07-29,"14:31:55,444",A1,0
2020-07-29,"14:31:55,448",A2,0
2020-07-29,"14:31:55,456",A3,0
2020-07-29,"14:31:55,464",A4,0
2020-07-29,"14:31:56,435",A0,0
2020-07-29,"14:31:56,443",A1,0
2020-07-29,"14:31:56,451",A2,0
2020-07-29,"14:31:56,459",A3,0
2020-07-29,"14:31:56,467",A4,0
2020-07-29,"14:31:57,438",A0,0
2020-07-29,"14:31:57,446",A1,0
2020-07-29,"14:31:57,455",A2,0
2020-07-29,"14:31:57,459",A3,0
2020-07-29,"14:31:57,467",A4,0
2020-07-29,"14:31:58,442",A0,0
2020-07-29,"14:31:58,446",A1,0
2020-07-29,"14:31:58,454",A2,0
2020-07-29,"14:31:58,462",A3,0
2020-07-29,"14:31:58,470",A4,0
2020-07-29,"14:31:59,441",A0,0
2020-07-29,"14:31:59,449",A1,0
2020-07-29,"14:31:59,457",A2,0
2020-07-29,"14:31:59,466",A3,0
2020-07-29,"14:31:59,470",A4,0
