Date,Time,Sid,value
2020-07-28,"12:23:36,454",A3,0.0
2020-07-28,"12:23:36,454",A4,0.0
2020-07-28,"12:23:36,454",A0,0.0
2020-07-28,"12:23:36,454",A1,0.0
2020-07-28,"12:23:36,455",A2,0.0
2020-07-28,"12:23:36,455",A3,0.0
2020-07-28,"12:23:36,455",A4,0.0
2020-07-28,"12:23:36,455",A0,0.0
2020-07-28,"12:23:36,455",A1,0.0
2020-07-28,"12:23:36,455",A2,0.0
2020-07-28,"12:23:36,455",A3,0.0
2020-07-28,"12:23:36,455",A4,0.0
2020-07-28,"12:23:36,456",A0,0.0
2020-07-28,"12:23:36,456",A1,0.0
2020-07-28,"12:23:36,456",A2,0.0
2020-07-28,"12:23:36,456",A3,0.0
2020-07-28,"12:23:36,456",A4,0.0
2020-07-28,"12:23:36,456",,
2020-07-28,"12:23:36,456",A2,0.0
2020-07-28,"12:23:36,456",A3,0.0
2020-07-28,"12:23:36,456",A4,0.0
2020-07-28,"12:23:36,457",A0,0.0
2020-07-28,"12:23:36,457",A1,0.0
2020-07-28,"12:23:36,457",A2,0.0
2020-07-28,"12:23:36,457",A3,0.0
2020-07-28,"12:23:36,457",A4,0.0
2020-07-28,"12:23:36,457",A0,0.0
2020-07-28,"12:23:36,457",A1,0.0
2020-07-28,"12:23:36,457",A2,0.0
2020-07-28,"12:23:36,457",A3,0.0
2020-07-28,"12:23:36,457",A4,0.0
2020-07-28,"12:23:36,457",A0,0.0
2020-07-28,"12:23:36,458",A1,0.0
2020-07-28,"12:23:36,458",A2,0.0
2020-07-28,"12:23:36,458",A3,0.0
2020-07-28,"12:23:36,458",A4,0.0
2020-07-28,"12:23:38,010",A0,0.0
2020-07-28,"12:23:38,014",A1,0.0
2020-07-28,"12:23:38,022",A2,0.0
2020-07-28,"12:23:38,031",A3,0.0
2020-07-28,"12:23:38,039",A4,0.0
2020-07-28,"12:23:39,009",A0,0.0
2020-07-28,"12:23:39,018",A1,0.0
2020-07-28,"12:23:39,026",A2,0.0
2020-07-28,"12:23:39,034",A3,0.0
2020-07-28,"12:23:39,038",A4,0.0
2020-07-28,"12:23:40,013",A0,0.0
2020-07-28,"12:23:40,021",A1,0.0
2020-07-28,"12:23:40,029",A2,0.0
2020-07-28,"12:23:40,033",A3,0.0
2020-07-28,"12:23:40,042",A4,0.0
2020-07-28,"12:23:41,016",A0,0.0
2020-07-28,"12:23:41,021",A1,0.0
2020-07-28,"12:23:41,029",A2,0.0
2020-07-28,"12:23:41,037",A3,0.0
2020-07-28,"12:23:41,045",A4,0.0
2020-07-28,"12:23:42,016",A0,0.0
2020-07-28,"12:23:42,024",A1,0.0
2020-07-28,"12:23:42,032",A2,0.0
2020-07-28,"12:23:42,040",A3,0.0
2020-07-28,"12:23:42,045",A4,0.0
2020-07-28,"12:23:43,019",A0,0.0
2020-07-28,"12:23:43,027",A1,0.0
2020-07-28,"12:23:43,032",A2,0.0
2020-07-28,"12:23:43,040",A3,0.0
