Date,Time,Action,PosX,PosY,Button
2020-07-22,"16:01:28,573",MV,1202,513,None:
2020-07-22,"16:01:28,581",MV,1202,501,None:
2020-07-22,"16:01:28,589",MV,1202,492,None:
2020-07-22,"16:01:28,597",MV,1202,482,None:
2020-07-22,"16:01:28,605",MV,1207,473,None:
2020-07-22,"16:01:28,613",MV,1211,462,None:
2020-07-22,"16:01:28,621",MV,1216,455,None:
2020-07-22,"16:01:28,629",MV,1220,451,None:
2020-07-22,"16:01:28,637",MV,1221,448,None:
2020-07-22,"16:01:28,645",MV,1223,446,None:
2020-07-22,"16:01:28,677",MV,1223,443,None:
2020-07-22,"16:01:28,685",MV,1223,440,None:
2020-07-22,"16:01:28,693",MV,1219,434,None:
2020-07-22,"16:01:28,701",MV,1213,423,None:
2020-07-22,"16:01:28,709",MV,1208,410,None:
2020-07-22,"16:01:28,717",MV,1203,398,None:
2020-07-22,"16:01:28,725",MV,1201,385,None:
2020-07-22,"16:01:28,733",MV,1201,378,None:
2020-07-22,"16:01:28,741",MV,1201,373,None:
2020-07-22,"16:01:28,749",MV,1201,367,None:
2020-07-22,"16:01:28,757",MV,1201,362,None:
2020-07-22,"16:01:28,765",MV,1203,359,None:
2020-07-22,"16:01:28,773",MV,1206,356,None:
2020-07-22,"16:01:28,781",MV,1207,355,None:
2020-07-22,"16:01:29,165",CLK,1207,355,Button.left
2020-07-22,"16:01:29,249",RLS,1207,355,Button.left
2020-07-22,"16:01:29,445",MV,1207,354,None:
2020-07-22,"16:01:29,453",MV,1199,360,None:
2020-07-22,"16:01:29,461",MV,1189,364,None:
2020-07-22,"16:01:29,469",MV,1182,367,None:
2020-07-22,"16:01:29,477",MV,1170,373,None:
2020-07-22,"16:01:29,485",MV,1153,377,None:
2020-07-22,"16:01:29,493",MV,1132,385,None:
2020-07-22,"16:01:29,501",MV,1108,393,None:
2020-07-22,"16:01:29,509",MV,1082,397,None:
2020-07-22,"16:01:29,517",MV,1052,407,None:
2020-07-22,"16:01:29,525",MV,1024,411,None:
2020-07-22,"16:01:29,533",MV,998,417,None:
2020-07-22,"16:01:29,541",MV,976,425,None:
2020-07-22,"16:01:29,549",MV,956,431,None:
2020-07-22,"16:01:29,557",MV,938,441,None:
2020-07-22,"16:01:29,565",MV,925,446,None:
2020-07-22,"16:01:29,573",MV,912,451,None:
2020-07-22,"16:01:29,581",MV,901,455,None:
2020-07-22,"16:01:29,589",MV,885,461,None:
2020-07-22,"16:01:29,597",MV,875,465,None:
2020-07-22,"16:01:29,605",MV,866,471,None:
2020-07-22,"16:01:29,613",MV,851,474,None:
2020-07-22,"16:01:29,621",MV,843,477,None:
2020-07-22,"16:01:29,629",MV,836,480,None:
2020-07-22,"16:01:29,637",MV,832,480,None:
2020-07-22,"16:01:29,645",MV,826,482,None:
2020-07-22,"16:01:29,653",MV,819,484,None:
2020-07-22,"16:01:29,661",MV,813,484,None:
2020-07-22,"16:01:29,669",MV,803,485,None:
2020-07-22,"16:01:29,677",MV,796,486,None:
2020-07-22,"16:01:29,685",MV,790,486,None:
2020-07-22,"16:01:29,693",MV,788,487,None:
2020-07-22,"16:01:29,701",MV,787,487,None:
2020-07-22,"16:01:29,709",MV,786,487,None:
2020-07-22,"16:01:29,973",CLK,786,487,Button.left
2020-07-22,"16:01:30,049",RLS,786,487,Button.left
2020-07-22,"16:01:30,565",SCRD,786,487,None
2020-07-22,"16:01:30,621",SCRD,786,487,None
2020-07-22,"16:01:31,846",SCRU,786,487,None
2020-07-22,"16:01:31,909",SCRU,786,487,None
2020-07-22,"16:01:32,373",MV,785,487,None:
2020-07-22,"16:01:32,454",MV,785,488,None:
2020-07-22,"16:01:32,469",SCRU,785,488,None
2020-07-22,"16:01:32,494",SCRU,785,488,None
2020-07-22,"16:01:32,525",SCRU,785,488,None
2020-07-22,"16:01:32,557",SCRU,785,488,None
2020-07-22,"16:01:32,605",SCRU,785,488,None
2020-07-22,"16:01:33,125",MV,785,489,None:
2020-07-22,"16:01:33,133",MV,785,489,None:
2020-07-22,"16:01:33,141",MV,786,490,None:
2020-07-22,"16:01:33,149",MV,788,491,None:
2020-07-22,"16:01:33,157",MV,789,491,None:
2020-07-22,"16:01:33,165",MV,790,492,None:
2020-07-22,"16:01:33,173",MV,792,492,None:
2020-07-22,"16:01:33,181",MV,794,492,None:
2020-07-22,"16:01:33,189",MV,797,493,None:
2020-07-22,"16:01:33,197",MV,799,493,None:
2020-07-22,"16:01:33,205",MV,803,493,None:
2020-07-22,"16:01:33,213",MV,807,493,None:
2020-07-22,"16:01:33,221",MV,810,494,None:
2020-07-22,"16:01:33,229",MV,813,495,None:
2020-07-22,"16:01:33,237",MV,815,495,None:
2020-07-22,"16:01:33,245",MV,818,496,None:
2020-07-22,"16:01:33,253",MV,819,497,None:
2020-07-22,"16:01:33,430",SCRD,819,497,None
2020-07-22,"16:01:33,446",MV,819,495,None:
2020-07-22,"16:01:33,454",MV,819,494,None:
2020-07-22,"16:01:33,454",SCRD,819,494,None
2020-07-22,"16:01:33,462",MV,819,493,None:
2020-07-22,"16:01:33,462",SCRD,819,493,None
2020-07-22,"16:01:33,470",MV,819,491,None:
2020-07-22,"16:01:33,478",MV,818,490,None:
2020-07-22,"16:01:33,486",MV,817,488,None:
2020-07-22,"16:01:33,486",SCRD,817,488,None
2020-07-22,"16:01:33,525",SCRD,817,488,None
2020-07-22,"16:01:33,534",MV,816,486,None:
2020-07-22,"16:01:33,549",SCRD,816,486,None
2020-07-22,"16:01:33,557",MV,815,486,None:
2020-07-22,"16:01:33,574",SCRD,815,486,None
2020-07-22,"16:01:33,582",MV,814,484,None:
2020-07-22,"16:01:33,605",MV,814,482,None:
2020-07-22,"16:01:33,630",MV,814,481,None:
2020-07-22,"16:01:33,638",MV,813,480,None:
2020-07-22,"16:01:33,646",MV,813,479,None:
2020-07-22,"16:01:34,446",CLK,813,479,utton.right
2020-07-22,"16:01:34,570",RLS,813,479,utton.right
2020-07-22,"16:01:34,965",MV,813,478,None:
2020-07-22,"16:01:34,973",MV,811,477,None:
2020-07-22,"16:01:34,990",MV,809,476,None:
2020-07-22,"16:01:34,998",MV,808,475,None:
2020-07-22,"16:01:35,014",MV,804,472,None:
2020-07-22,"16:01:35,038",MV,803,471,None:
2020-07-22,"16:01:35,046",MV,801,470,None:
2020-07-22,"16:01:35,070",MV,798,469,None:
2020-07-22,"16:01:35,086",MV,797,468,None:
2020-07-22,"16:01:35,094",MV,796,467,None:
2020-07-22,"16:01:35,102",MV,795,466,None:
2020-07-22,"16:01:35,110",MV,795,465,None:
2020-07-22,"16:01:35,118",MV,794,463,None:
2020-07-22,"16:01:35,126",MV,793,462,None:
2020-07-22,"16:01:35,134",MV,791,460,None:
2020-07-22,"16:01:35,142",MV,790,459,None:
2020-07-22,"16:01:35,150",MV,789,457,None:
2020-07-22,"16:01:35,158",MV,789,455,None:
2020-07-22,"16:01:35,166",MV,787,453,None:
2020-07-22,"16:01:35,174",MV,786,450,None:
2020-07-22,"16:01:35,189",MV,785,449,None:
2020-07-22,"16:01:35,206",MV,784,448,None:
2020-07-22,"16:01:35,446",CLK,784,448,Button.left
2020-07-22,"16:01:35,546",RLS,784,448,Button.left
2020-07-22,"16:01:35,974",CLK,784,448,Button.left
2020-07-22,"16:01:36,090",RLS,784,448,Button.left
2020-07-22,"16:01:36,190",CLK,784,448,Button.left
2020-07-22,"16:01:36,274",RLS,784,448,Button.left
2020-07-22,"16:01:36,358",CLK,784,448,Button.left
2020-07-22,"16:01:36,482",RLS,784,448,Button.left
2020-07-22,"16:01:36,847",CLK,784,448,utton.right
2020-07-22,"16:01:37,074",RLS,784,448,utton.right
2020-07-22,"16:01:38,014",CLK,784,448,Button.left
2020-07-22,"16:01:38,082",RLS,784,448,Button.left
2020-07-22,"16:01:38,166",CLK,784,448,Button.left
2020-07-22,"16:01:38,242",RLS,784,448,Button.left
2020-07-22,"16:01:38,326",CLK,784,448,Button.left
2020-07-22,"16:01:38,402",RLS,784,448,Button.left
2020-07-22,"16:01:38,663",CLK,784,448,Button.left
2020-07-22,"16:01:38,906",RLS,784,448,Button.left
2020-07-22,"16:01:39,007",CLK,784,448,Button.left
2020-07-22,"16:01:39,098",RLS,784,448,Button.left
2020-07-22,"16:01:39,175",CLK,784,448,Button.left
2020-07-22,"16:01:39,250",RLS,784,448,Button.left
2020-07-22,"16:01:39,318",CLK,784,448,Button.left
2020-07-22,"16:01:39,418",RLS,784,448,Button.left
2020-07-22,"16:01:39,478",CLK,784,448,Button.left
2020-07-22,"16:01:39,546",RLS,784,448,Button.left
2020-07-22,"16:01:39,599",CLK,784,448,Button.left
2020-07-22,"16:01:39,690",RLS,784,448,Button.left
2020-07-22,"16:01:39,734",CLK,784,448,Button.left
2020-07-22,"16:01:39,859",RLS,784,448,Button.left
2020-07-22,"16:01:40,215",MV,784,447,None:
2020-07-22,"16:01:40,223",MV,781,447,None:
2020-07-22,"16:01:40,231",MV,778,447,None:
2020-07-22,"16:01:40,238",MV,774,447,None:
2020-07-22,"16:01:40,246",MV,770,447,None:
2020-07-22,"16:01:40,254",MV,765,447,None:
2020-07-22,"16:01:40,263",MV,762,447,None:
2020-07-22,"16:01:40,271",MV,759,447,None:
2020-07-22,"16:01:40,279",MV,757,447,None:
2020-07-22,"16:01:40,287",MV,756,447,None:
2020-07-22,"16:01:40,952",CLK,756,447,utton.right
2020-07-22,"16:01:41,115",RLS,756,447,utton.right
2020-07-22,"16:01:41,368",CLK,756,447,utton.right
2020-07-22,"16:01:41,475",RLS,756,447,utton.right
2020-07-22,"16:01:41,552",CLK,756,447,utton.right
2020-07-22,"16:01:41,683",RLS,756,447,utton.right
2020-07-22,"16:01:42,399",MV,761,447,None:
2020-07-22,"16:01:42,407",MV,779,442,None:
2020-07-22,"16:01:42,415",MV,801,436,None:
2020-07-22,"16:01:42,423",MV,823,426,None:
2020-07-22,"16:01:42,431",MV,857,416,None:
2020-07-22,"16:01:42,439",MV,891,402,None:
2020-07-22,"16:01:42,447",MV,931,386,None:
2020-07-22,"16:01:42,455",MV,971,370,None:
2020-07-22,"16:01:42,463",MV,1011,350,None:
2020-07-22,"16:01:42,471",MV,1049,332,None:
2020-07-22,"16:01:42,479",MV,1089,314,None:
2020-07-22,"16:01:42,487",MV,1127,294,None:
2020-07-22,"16:01:42,495",MV,1161,276,None:
2020-07-22,"16:01:42,503",MV,1191,254,None:
2020-07-22,"16:01:42,511",MV,1219,234,None:
2020-07-22,"16:01:42,518",MV,1247,218,None:
2020-07-22,"16:01:42,527",MV,1275,198,None:
2020-07-22,"16:01:42,535",MV,1307,186,None:
2020-07-22,"16:01:42,543",MV,1331,176,None:
2020-07-22,"16:01:42,551",MV,1355,164,None:
2020-07-22,"16:01:42,559",MV,1371,157,None:
2020-07-22,"16:01:42,567",MV,1385,151,None:
2020-07-22,"16:01:42,575",MV,1393,148,None:
2020-07-22,"16:01:42,583",MV,1397,147,None:
2020-07-22,"16:01:42,591",MV,1399,146,None:
2020-07-22,"16:01:42,727",MV,1401,146,None:
2020-07-22,"16:01:42,735",MV,1406,146,None:
2020-07-22,"16:01:42,743",MV,1409,146,None:
2020-07-22,"16:01:42,751",MV,1411,146,None:
2020-07-22,"16:01:42,759",MV,1412,146,None:
2020-07-22,"16:01:42,767",MV,1414,147,None:
2020-07-22,"16:01:42,775",MV,1415,148,None:
2020-07-22,"16:01:42,783",MV,1417,148,None:
2020-07-22,"16:01:42,791",MV,1418,148,None:
2020-07-22,"16:01:42,799",MV,1420,148,None:
2020-07-22,"16:01:42,807",MV,1422,148,None:
2020-07-22,"16:01:42,815",MV,1423,148,None:
2020-07-22,"16:01:42,911",MV,1424,149,None:
2020-07-22,"16:01:42,927",MV,1424,150,None:
2020-07-22,"16:01:42,943",MV,1424,152,None:
2020-07-22,"16:01:42,951",MV,1424,154,None:
2020-07-22,"16:01:42,959",MV,1423,155,None:
2020-07-22,"16:01:42,967",MV,1422,158,None:
2020-07-22,"16:01:42,975",MV,1420,161,None:
2020-07-22,"16:01:42,983",MV,1419,163,None:
2020-07-22,"16:01:42,991",MV,1419,166,None:
